family,d,p,q,n,rho,method,method_description,credit,credit_evidence_grade,credit_evidence,extended_status,tie,tie_note,parent,chain_root,credit_note,moller_bound,at_moller_bound,err_float64,err_extended,err_float128,digits_shipped,sum_weights,sum_weights_minus_1,min_weight,max_node_norm,min_face_distance,source_file,source_sha256,source_tree,float64_origin
hermite,2,21,11,82,0.823217,F,free nodes (no imposed symmetry),ours,host-provenance-index,"another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log free_d2p21.log), banked 2026-08-30T04:50:38",twin-shipped,no-tie,"literature survey (publish/shared/literature_best.tsv, source key ecf): best published count 90 for this cell, ours is 82",unrecorded,unrecorded,"our own tooling produced this rule — another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log free_d2p21.log), banked 2026-08-30T04:50:38. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",71,no,6.976282e-16,3.043408e-77,5.157251e-34,17+80,1,-3.811e-17,1.353885e-10,7.029464804,-,hermite_d2_p21_n82.csv,0dc0229904a2cb2a9c462ef286cb8f992f081317365f1702aaf15ca0af051e23,sync,twin-round-down
hermite,2,23,12,97,0.820738,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"unestablished:R. Cools, An encyclopaedia of cubature formulas, J. Complexity 19 (2003) 445-453; online at nines.cs.kuleuven.be/ecf. Overview tables last modified 2002.","per the literature survey (publish/shared/literature_best.tsv, source key ecf): our n=97 equals the best published count; UNESTABLISHED - the ECF tabulates counts only and its coordinate files are access-restricted, so the two rules have never been compared. Two further routes were swept on 2026-09-11 and neither reaches this cell: Van Zandt's own listings …",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",84,no,6.612849e-16,8.651963e-74,6.776560e-34,17+80,1,-2.089e-17,4.220105e-13,8.429192854,-,hermite_d2_p23_n97.csv,0fc954146c5f37463746e31e146539dd4942fc0a536aedb708ef939d4972721b,sync,twin-round-down
hermite,2,25,13,114,0.821314,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,no-tie,"literature survey (publish/shared/literature_best.tsv, source key ecf): best published count 127 for this cell, ours is 114",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",97,no,8.815227e-16,6.523380e-71,7.237709e-34,17+80,1,-2.860e-18,9.411532e-11,6.742580855,-,hermite_d2_p25_n114.csv,7cf8815f10256c632e948a242dab9abc6f196fdf319c56817157dba85fa690f4,sync,twin-round-down
hermite,2,27,14,132,0.820652,F,free nodes (no imposed symmetry),ours,cluster-find-ledger,"a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-08-24 16:49 UTC",twin-shipped,no-published-count-on-record,no published count for this cell is recorded in the repo,unrecorded,unrecorded,"our own tooling produced this rule — a cluster harvest ledger recorded this file as new to the bank — OSPool harvest ledger (cluster/finds_ospool.tsv), recorded new to the bank at the pull of 2026-08-24 16:49 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",112,no,9.810361e-16,1.144648e-69,7.214823e-34,17+80,1,-2.497e-17,3.993119e-15,8.965462727,-,hermite_d2_p27_n132.csv,8081ec57041435e3d2d3b52963ea9596e3a9c55dd6896797c83247b812514887,sync,twin-round-down
hermite,2,29,15,153,0.824621,F,free nodes (no imposed symmetry),ours,log-names-file,"a worker log names this exact file on a production line — free_d2p29.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d2_p29_n153.csv (exactness 7.149746829600001e-13); another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log free_d2p29.log), banked 2026-09-05T05:01:53",twin-shipped,no-published-count-on-record,no published count for this cell is recorded in the repo,unrecorded,unrecorded,"our own tooling produced this rule — a worker log names this exact file on a production line — free_d2p29.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d2_p29_n153.csv (exactness 7.149746829600001e-13); another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log free_d2p29.log), banked 2026-09-05T05:01:53. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",127,no,1.071931e-15,5.039337e-78,7.796714e-34,17+80,1,+2.918e-17,3.739485e-14,8.135597623,-,hermite_d2_p29_n153.csv,92cd3b6cc13cdd69e84f9f1d21a9b8800acae895e370bdd3ee6e613b310cba56,sync,twin-round-down
hermite,2,31,16,178,0.833854,F,free nodes (no imposed symmetry),ours,host-provenance-index,"another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LL0002.tsv (that machine's own log free_d2p31.log), banked 2026-09-11T00:51:37",twin-shipped,no-published-count-on-record,no published count for this cell is recorded in the repo,unrecorded,unrecorded,"our own tooling produced this rule — another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LL0002.tsv (that machine's own log free_d2p31.log), banked 2026-09-11T00:51:37. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",144,no,5.022694e-16,7.882529e-69,8.718594e-34,17+80,1,-2.027e-17,2.977893e-13,7.533229616,-,hermite_d2_p31_n178.csv,5f12c5b2bbab3b797cd3e928ca7a1de8b513d7f75869e5d85da0e090e02be0f0,sync,twin-round-down
hermite,2,33,17,208,0.848365,F,free nodes (no imposed symmetry),ours,lineage,"rules/lineage records how we made it: free node elimination: dropped a node/merged a pair, reconverged (symq_freeelim.jl seed 153) (parent hermite_d2_p33_n209.csv); a cluster harvest ledger recorded this file as new to the bank — Roar harvest ledger (cluster/finds_roar.tsv), recorded new to the bank at the pull of 2026-09-14 08:18 UTC",twin-shipped,no-published-count-on-record,no published count for this cell is recorded in the repo,hermite_d2_p33_n209.csv,hermite_d2_p33_n213.csv,"our own tooling produced this rule — rules/lineage records how we made it: free node elimination: dropped a node/merged a pair, reconverged (symq_freeelim.jl seed 153) (parent hermite_d2_p33_n209.csv); a cluster harvest ledger recorded this file as new to the bank — Roar harvest ledger (cluster/finds_roar.tsv), recorded new to the bank at the pull of 2026-09-14 08:18 UTC. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",-,unknown,1.076610e-15,7.174960e-69,4.934216e-34,17+80,1,+9.224e-18,2.691462e-13,7.425456237,-,hermite_d2_p33_n208.csv,abe920b042a5b8b3200c093009c3b458d0ca2fcc8db34cbeae2c2c8cf56b965d,sync,twin-round-down
hermite,3,1,1,1,1.000000,B,"full B_d symmetry (sign flips + permutations), orbit-constant weights",unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,no-tie,"Stroud E_n^{r^2} rules (Burkardt's sources, litcheck/stroud_m/): published count(s) 14, 15, 19, 25, 27, 52, 77 for this cell, ours is 1; Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3): published count(s) 10 for this cell, ours is 1; literature survey (publish/shared/literature_best.tsv, source key ecf): best published count 6 for this cell, ours is 1",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",1,yes,0.000000e+00,0.000000e+00,0.000000e+00,17+80,1,+0.000e+00,1.000000e+00,0,-,hermite_d3_p1_n1.csv,942a59f571ad2c25936dea810d597465c58902cdeb06fc0c5a205fb507043cf5,sync,twin-round-down
hermite,3,3,2,6,0.908560,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:R. Cools, An encyclopaedia of cubature formulas, J. Complexity 19 (2003) 445-453; online at nines.cs.kuleuven.be/ecf. Overview tables last modified 2002.","Stroud E_n^{r^2} rules (Burkardt's sources, litcheck/stroud_m/): published count(s) 14, 15, 19, 25, 27, 52, 77 for this cell, ours is 6; Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3): published count(s) 10 for this cell, ours is 6; per the literature survey (publish/shared/literature_best.tsv, source key ecf): our n=6 equals the best published count; DISTINCT RULE at the same count - settled 2026-09-11 by compare_rules.jl against Stroud's E_n^{r^2} 3-1, the axial 2N-point rule (order 2N = 6 at N=3): best node displacement 1.0e+00 over B_3, weight-multiset gap 3.1e-02, … — the ECF tabulates counts only, so this settles distinctness from the classical rule of that count, not identity against the ECF entry itself",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",6,yes,1.897986e-17,5.447611e-71,6.334568e-35,17+80,1,+0.000e+00,1.491498e-01,1.830938115,-,hermite_d3_p3_n6.csv,d9ccff33815cd7e17fa192800d4dc5a858df5242c47260102cdeff9ac0df0b7f,sync,twin-round-down
hermite,3,5,3,13,0.783778,L,literature rule,"transcribed:Stroud 1971, icosahedral (closed form)",none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"same-rule:Stroud 1971, icosahedral (closed form)","our bank file IS this published rule (rules/literature.tsv); the repo holds no 13-node data for this source, so it is taken from the register",-,-,"the published rule itself, copied into the bank; not ours in any sense",13,yes,8.785778e-17,1.089727e-69,1.736999e-34,17+80,1,+5.551e-17,5.000000e-02,2.236067977,-,hermite_d3_p5_n13.csv,eeb90a7a85fec610f52dcaf183915b8b1ece5f17145bfae4a5f286d2407a5b0c,sync,twin-round-down
hermite,3,7,4,27,0.750000,B,"full B_d symmetry (sign flips + permutations), orbit-constant weights","same-rule:Stroud 1971, E_n^{r^2}:7-1 option 1 (identified 2026-09-11 vs Burkardt en_r2_07_1)",sidecar-count,symq sidecar best_d3_p7.txt records our search reaching exactly n=27 for this cell,twin-shipped,"same-rule:Stroud 1971, E_n^{r^2}:7-1 option 1 (identified 2026-09-11 vs Burkardt en_r2_07_1)","our bank file IS this published rule (rules/literature.tsv), confirmed here against en_r2_07_1_n3_o1.csv",-,-,"our search converged to a rule identical to this published one; the rule is theirs, cite them",26,no,6.472125e-16,5.971587e-69,2.187063e-34,17+80,1,+3.166e-17,5.195469e-04,4.443643403,-,hermite_d3_p7_n27.csv,0399820a930c4d446c2cd7428d7d4402a46d5cd0f95f7af40510ab4cb6faa4e9,sync,twin-round-down
hermite,3,9,5,45,0.711379,I,icosahedral (d=3),"same-rule:Konyaev 1977, rule 1 for the weight exp(-rho^2) (identified 2026-09-16 against the closed form printed in Dokl. Akad. Nauk SSSR 233 no. 5, 784-787; same up to rotation, node displacement 9.7e-16)",host-provenance-index,"another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log free_d3p9.log), banked 2026-08-30T04:50:42",twin-shipped,"same-rule:Konyaev 1977, rule 1 for the weight exp(-rho^2) (identified 2026-09-16 against the closed form printed in Dokl. Akad. Nauk SSSR 233 no. 5, 784-787; same up to rotation, node displacement 9.7e-16)","our bank file IS this published rule (rules/literature.tsv); the repo holds no 45-node data for this source, so it is taken from the register",-,-,"our search converged to a rule identical to this published one; the rule is theirs, cite them",43,no,2.995918e-16,9.278802e-69,2.659442e-34,17+80,1,-7.806e-18,4.629630e-04,3.872983346,-,hermite_d3_p9_n45.csv,3e7085dfc28c4d5c5c4f2280aeef23abea7143d894f53ba9972020eeadb44c54,sync,twin-round-down
hermite,3,11,6,77,0.709053,B,"full B_d symmetry (sign flips + permutations), orbit-constant weights",ours,log-names-file,"a worker log names this exact file on a production line — d3p11_s1.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d3_p11_n77.csv  (exactness 9.094947017729282e-13)  77 nodes = 2|1z(12) 1|2z(6) 3(8) origin(1) …; another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log d3p11_s1.log), banked 2026-08-10T19:59:57; symq sidecar best_d3_p11.txt records our search reaching exactly n=77 for this cell",twin-shipped,"unestablished:R. Cools, An encyclopaedia of cubature formulas, J. Complexity 19 (2003) 445-453; online at nines.cs.kuleuven.be/ecf. Overview tables last modified 2002.","per the literature survey (publish/shared/literature_best.tsv, source key ecf): our n=77 equals the best published count; UNESTABLISHED - the ECF tabulates counts only and its coordinate files are access-restricted, so the two rules have never been compared. Two further routes were swept on 2026-09-11 and neither reaches this cell: Van Zandt's own listings …",unrecorded,unrecorded,"our own tooling produced this rule — a worker log names this exact file on a production line — d3p11_s1.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d3_p11_n77.csv  (exactness 9.094947017729282e-13)  77 nodes = 2|1z(12) 1|2z(6) 3(8) origin(1) …; another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log d3p11_s1.log), banked 2026-08-10T19:59:57; symq sidecar best_d3_p11.txt records our search reaching exactly n=77 for this cell. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",68,no,8.404590e-16,1.007577e-79,3.508531e-34,17+80,1,+1.538e-17,1.239467e-07,7.649904101,-,hermite_d3_p11_n77.csv,eabda338e4d7535cf99dc8411c73dae7ccec9c5508d47b5e0f8ee203eda1bad4,sync,twin-round-down
hermite,3,13,7,128,0.719955,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,no-tie,"Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3): the 220-node rule for this cell has negative weights and is excluded from the comparison (see COMPARISON.md); literature survey (publish/shared/literature_best.tsv, source key ecf): best published count 137 for this cell, ours is 128",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",99,no,3.873234e-16,6.338334e-80,3.344293e-34,17+80,1,-3.172e-17,2.264376e-06,5.210606536,-,hermite_d3_p13_n128.csv,d2c6565f200fff152c43fba71483f9ee0a4fc89a1cb65a8d4f23ef3d71a8326b,sync,twin-round-down
hermite,3,15,8,184,0.710967,B,"full B_d symmetry (sign flips + permutations), orbit-constant weights",ours,log-names-file,"a worker log names this exact file on a production line — d3p15_s1.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d3_p15_n184.csv  (exactness 2.9103830456733704e-10)  184 nodes = 2+1(24) 2|1z(12) 1+1|1z(24) …; another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log d3p15_s1.log), banked 2026-08-10T19:57:28; symq sidecar best_d3_p15.txt records our search reaching exactly n=184 for this cell",twin-shipped,no-published-count-on-record,"Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3): the 234-node rule for this cell has negative weights and is excluded from the comparison (see COMPARISON.md)",unrecorded,unrecorded,"our own tooling produced this rule — a worker log names this exact file on a production line — d3p15_s1.log: BANKED /home/joris/oldDesignedQuadrature/julia/rules/hermite_d3_p15_n184.csv  (exactness 2.9103830456733704e-10)  184 nodes = 2+1(24) 2|1z(12) 1+1|1z(24) …; another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/poppyrose.tsv (that machine's own log d3p15_s1.log), banked 2026-08-10T19:57:28; symq sidecar best_d3_p15.txt records our search reaching exactly n=184 for this cell. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",140,no,4.619721e-16,5.179972e-79,3.654926e-34,17+80,1,-8.705e-19,3.411525e-13,13.63869259,-,hermite_d3_p15_n184.csv,433fe520341ff5d9173ea16d05c547f66acf421d9874eac5717da766b72f2a41,sync,twin-round-down
hermite,3,17,9,264,0.712785,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,no-published-count-on-record,no published count for this cell is recorded in the repo,unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",189,no,7.126212e-16,2.643093e-78,3.365382e-34,17+80,1,+6.680e-18,3.913587e-09,6.52265487,-,hermite_d3_p17_n264.csv,23e348ced37fca8bcfd7407e52289d6dbddcfc1b32f84a6e7f5aba5f2eaa652d,sync,twin-round-down
